iter	Passed	Remaining
398	33829	50955
399	33915	50873
400	33976	50753
401	34034	50628
402	34089	50500
403	34165	50402
404	34224	50280
405	34281	50155
406	34348	50045
407	34428	49955
408	34497	49848
409	34591	49778
410	34669	49684
411	34739	49579
412	34790	49448
413	34856	49337
414	34929	49238
415	34986	49116
416	35043	48994
417	35103	48876
418	35168	48766
419	35226	48645
420	35277	48517
421	35354	48424
422	35411	48304
423	35470	48186
424	35545	48090
425	35601	47970
426	35658	47850
427	35740	47765
428	35811	47665
429	35886	47571
430	35970	47487
431	36033	47376
432	36085	47253
433	36158	47155
434	36213	47036
435	36264	46910
436	36319	46791
437	36379	46678
438	36445	46573
439	36507	46464
440	36576	46363
441	36631	46245
442	36698	46142
443	36763	46037
444	36827	45930
445	36889	45822
446	36963	45728
447	37071	45677
448	37162	45604
449	37233	45507
450	37304	45410
451	37371	45308
452	37435	45203
453	37496	45094
454	37586	45021
455	37648	44914
456	37718	44816
457	37778	44706
458	37836	44595
459	37901	44493
460	37965	44388
461	38020	44274
462	38077	44163
463	38146	44065
464	38196	43946
465	38251	43832
466	38318	43733
467	38396	43646
468	38472	43558
469	38563	43487
470	38619	43374
471	38680	43269
472	38758	43183
473	38818	43076
474	38876	42969
475	38945	42873
476	39025	42788
477	39135	42737
478	39219	42658
479	39328	42605
480	39390	42502
481	39448	42395
482	39519	42301
483	39588	42206
484	39657	42110
485	39747	42037
486	39818	41944
487	39868	41828
488	39938	41735
489	39994	41626
490	40063	41532
491	40127	41432
492	40186	41327
493	40239	41216
494	40307	41122
495	40367	41018
496	40433	40921
497	40503	40829
498	40566	40729
499	40630	40630
500	40684	40522
501	40759	40434
502	40824	40337
503	40905	40256
504	40979	40168
505	41065	40091
506	41143	40006
507	41196	39898
508	41262	39803
509	41338	39717
510	41391	39609
511	41459	39516
512	41528	39423
513	41588	39322
514	41640	39215
515	41708	39121
516	41768	39021
517	41828	38921
518	41888	38821
519	41952	38725
520	42013	38627
521	42069	38523
522	42144	38437
523	42221	38353
524	42304	38275
525	42391	38200
526	42465	38113
527	42528	38018
528	42586	37917
529	42641	37813
530	42710	37723
531	42770	37624
532	42833	37529
533	42911	37447
534	42966	37344
535	43036	37255
536	43098	37159
537	43158	37062
538	43216	36962
539	43272	36861
540	43335	36766
541	43396	36670
542	43486	36598
543	43563	36516
544	43641	36434
545	43732	36363
546	43789	36264
547	43848	36166
548	43920	36080
549	43979	35983
550	44067	35909
551	44164	35843
552	44236	35757
553	44297	35662
554	44364	35571
555	44444	35491
556	44529	35415
557	44605	35332
558	44675	35244
559	44793	35194
560	44960	35183
561	45076	35130
562	45198	35083
563	45281	35004
564	45378	34937
565	45541	34920
566	45665	34873
567	45765	34807
568	45874	34748
569	46026	34721
570	46130	34658
571	46234	34595
572	46355	34543
573	46451	34474
574	46545	34403
575	46627	34322
576	46724	34253
577	46850	34206
578	46988	34166
579	47051	34072
580	47156	34007
581	47225	33917
582	47304	33834
583	47393	33760
584	47462	33670
585	47545	33590
586	47614	33500
587	47694	33418
588	47787	33345
589	47870	33265
590	47952	33185
591	48013	33090
592	48066	32989
593	48141	32904
594	48197	32806
595	48268	32718
596	48341	32632
597	48412	32545
598	48481	32455
599	48560	32373
600	48622	32280
601	48686	32187
602	48757	32100
603	48807	31999
604	48874	31909
605	49068	31902
606	49166	31832
607	49233	31742
608	49401	31717
609	49484	31637
610	49653	31612
611	49930	31655
612	50084	31619
613	50464	31724
614	50657	31712
615	50902	31731
616	51019	31670
617	51125	31601
618	51295	31572
619	51399	31502
620	51484	31421
621	51544	31324
622	52172	31571
623	52264	31492
624	52581	31549
625	52815	31554
626	52905	31473
627	53053	31426
628	53298	31436
629	53572	31463
630	53741	31427
631	54072	31485
632	54215	31433
633	54451	31434
634	54673	31426
635	54759	31340
636	55165	31436
637	55373	31418
638	55475	31340
639	55605	31278
640	55749	31223
641	55822	31128
642	55896	31034
643	56052	30985
644	56146	30902
645	56280	30841
646	57221	31219
647	57388	31174
648	57555	31127
649	57754	31098
650	58253	31229
651	58361	31150
652	58426	31047
653	58574	30989
654	59567	31375
655	59916	31419
656	60049	31349
657	60125	31250
658	60224	31163
659	60320	31074
660	60384	30968
661	60476	30877
662	60552	30778
663	60628	30679
664	60706	30581
665	60790	30486
666	60861	30385
667	60922	30279
668	61003	30182
669	61090	30089
670	61181	29998
671	61304	29922
672	61360	29814
673	61418	29707
674	61497	29610
675	61588	29518
676	61664	29420
677	61747	29325
678	61821	29226
679	62032	29191
680	62127	29102
681	62188	28997
682	62253	28893
683	62347	28803
684	62512	28746
685	62631	28667
686	62759	28593
687	62856	28504
688	62926	28403
689	62999	28304
690	63073	28205
691	63140	28102
692	63208	28001
693	63275	27899
694	63340	27796
695	63433	27706
696	63536	27620
697	63637	27533
698	63749	27451
699	63816	27349
700	63898	27254
701	63968	27154
702	64030	27051
703	64137	26966
704	64214	26869
705	64305	26778
706	64377	26679
707	64462	26586
708	64539	26489
709	64603	26387
710	64720	26306
711	64796	26209
712	64874	26113
713	64941	26012
714	65015	25915
715	65156	25844
716	65298	25773
717	65387	25681
718	65492	25596
719	65585	25505
720	65703	25424
721	65777	25327
722	65854	25230
723	65958	25144
724	66030	25046
725	66090	24943
726	66148	24839
727	66217	24740
728	66289	24642
729	66362	24544
730	66445	24451
731	66516	24352
732	66573	24249
733	66648	24153
734	66716	24054
735	66774	23951
736	66846	23854
737	66937	23763
738	67009	23666
739	67072	23565
740	67129	23463
741	67190	23362
742	67268	23267
743	67326	23166
744	67394	23067
745	67478	22975
746	67537	22874
747	67638	22787
748	67720	22694
749	67804	22601
750	67882	22506
751	67952	22410
752	68026	22314
753	68083	22212
754	68143	22112
755	68221	22018
756	68274	21916
757	68339	21817
758	68415	21723
759	68501	21632
760	68556	21531
761	68632	21436
762	68702	21340
763	68755	21238
764	68822	21141
765	68893	21045
766	68960	20948
767	69050	20859
768	69119	20762
769	69186	20666
770	69253	20569
771	69313	20470
772	69369	20371
773	69439	20275
774	69502	20178
775	69555	20077
776	69631	19984
777	69690	19885
778	69746	19786
779	69813	19691
780	69872	19593
781	69928	19494
782	69996	19398
783	70062	19302
784	70125	19206
785	70232	19121
786	70315	19030
787	70383	18935
788	70476	18847
789	70534	18749
790	70612	18657
791	70661	18557
792	70719	18460
793	70774	18362
794	70842	18267
795	70899	18170
796	70955	18072
797	71027	17979
798	71099	17886
799	71155	17788
800	71251	17701
801	71322	17608
802	71391	17514
803	71485	17426
804	71565	17335
805	71653	17246
806	71733	17155
807	71827	17067
808	71907	16976
809	72006	16890
810	72088	16799
811	72162	16707
812	72251	16618
813	72321	16525
814	72392	16432
815	72461	16339
816	72524	16244
817	72617	16156
818	72685	16063
819	72747	15968
820	72833	15879
821	72913	15789
822	73003	15700
823	73074	15608
824	73133	15513
825	73205	15420
826	73278	15329
827	73338	15234
828	73407	15141
829	73470	15048
830	73553	14958
831	73626	14866
832	73706	14776
833	73774	14684
834	73858	14594
835	73934	14503
836	74027	14416
837	74093	14323
838	74176	14234
839	74266	14145
840	74345	14055
841	74433	13967
842	74491	13873
843	74564	13782
844	74632	13690
845	74687	13595
846	74744	13501
847	74809	13409
848	74866	13315
849	74922	13221
850	74983	13128
851	75065	13039
852	75133	12947
853	75231	12861
854	75313	12772
855	75401	12684
856	75480	12594
857	75578	12508
858	75659	12419
859	75726	12327
860	75813	12239
861	75869	12146
862	75928	12053
863	76002	11963
864	76060	11870
865	76124	11779
866	76191	11687
867	76254	11596
868	76310	11503
869	76372	11411
870	76436	11320
871	76489	11227
872	76545	11135
873	76612	11044
874	76663	10951
875	76719	10859
876	76804	10771
877	76882	10683
878	76957	10593
879	77040	10505
880	77101	10414
881	77160	10323
882	77244	10235
883	77297	10143
884	77354	10051
885	77421	9961
886	77487	9871
887	77553	9781
888	77622	9691
889	77687	9601
